0:0:0:0:0:0:0:1 - - [18/Dec/2015:17:05:37 +0200] "GET /nodejstester/libs/lodash-3.10.1.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Dec/2015:17:05:37 +0200] "GET /nodejstester/scripts/todoList.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Dec/2015:17:05:37 +0200] "GET /nodejstester/libs/bootstrap-3.3.6-dist/css/bootstrap.css.map HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Dec/2015:17:05:37 +0200] "GET /nodejstester/libs/bootstrap-3.3.6-dist/fonts/glyphicons-halflings-regular.woff2 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Dec/2015:17:05:45 +0200] "GET /nodejstester/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Dec/2015:17:05:45 +0200] "GET /nodejstester/libs/bootstrap-3.3.6-dist/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Dec/2015:17:05:45 +0200] "GET /nodejstester/libs/lodash-3.10.1.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Dec/2015:17:05:45 +0200] "GET /nodejstester/libs/jquery-2.1.4.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Dec/2015:17:05:45 +0200] "GET /nodejstester/scripts/todoList.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Dec/2015:17:05:45 +0200] "GET /nodejstester/libs/bootstrap-3.3.6-dist/fonts/glyphicons-halflings-regular.eot? HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Dec/2015:17:05:53 +0200] "GET /nodejstester/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Dec/2015:17:05:53 +0200] "GET /nodejstester/libs/bootstrap-3.3.6-dist/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Dec/2015:17:05:53 +0200] "GET /nodejstester/libs/jquery-2.1.4.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Dec/2015:17:05:53 +0200] "GET /nodejstester/scripts/todoList.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Dec/2015:17:05:53 +0200] "GET /nodejstester/libs/lodash-3.10.1.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Dec/2015:17:05:53 +0200] "GET /nodejstester/libs/bootstrap-3.3.6-dist/fonts/glyphicons-halflings-regular.woff2 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Dec/2015:17:06:49 +0200] "GET /nodejstester/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Dec/2015:17:06:49 +0200] "GET /nodejstester/libs/bootstrap-3.3.6-dist/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Dec/2015:17:06:49 +0200] "GET /nodejstester/libs/jquery-2.1.4.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Dec/2015:17:06:49 +0200] "GET /nodejstester/libs/lodash-3.10.1.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Dec/2015:17:06:49 +0200] "GET /nodejstester/scripts/todoList.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Dec/2015:17:06:49 +0200] "GET /nodejstester/libs/bootstrap-3.3.6-dist/fonts/glyphicons-halflings-regular.woff2 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Dec/2015:17:08:42 +0200] "GET /nodejstester/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Dec/2015:17:08:43 +0200] "GET /nodejstester/libs/bootstrap-3.3.6-dist/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Dec/2015:17:08:43 +0200] "GET /nodejstester/libs/jquery-2.1.4.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Dec/2015:17:08:43 +0200] "GET /nodejstester/libs/lodash-3.10.1.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Dec/2015:17:08:43 +0200] "GET /nodejstester/scripts/todoList.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Dec/2015:17:08:43 +0200] "GET /nodejstester/libs/bootstrap-3.3.6-dist/css/bootstrap.css.map HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Dec/2015:17:08:43 +0200] "GET /nodejstester/libs/bootstrap-3.3.6-dist/fonts/glyphicons-halflings-regular.woff2 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Dec/2015:17:08:50 +0200] "GET /nodejstester/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Dec/2015:17:08:51 +0200] "GET /nodejstester/libs/bootstrap-3.3.6-dist/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Dec/2015:17:08:51 +0200] "GET /nodejstester/libs/jquery-2.1.4.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Dec/2015:17:08:51 +0200] "GET /nodejstester/libs/lodash-3.10.1.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Dec/2015:17:08:51 +0200] "GET /nodejstester/scripts/todoList.js HTTP/1.1" 200 298
0:0:0:0:0:0:0:1 - - [18/Dec/2015:17:08:51 +0200] "GET /nodejstester/libs/bootstrap-3.3.6-dist/fonts/glyphicons-halflings-regular.woff2 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Dec/2015:17:09:24 +0200] "GET /nodejstester/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Dec/2015:17:09:24 +0200] "GET /nodejstester/libs/bootstrap-3.3.6-dist/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Dec/2015:17:09:24 +0200] "GET /nodejstester/libs/jquery-2.1.4.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Dec/2015:17:09:24 +0200] "GET /nodejstester/libs/lodash-3.10.1.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Dec/2015:17:09:24 +0200] "GET /nodejstester/scripts/todoList.js HTTP/1.1" 200 259
0:0:0:0:0:0:0:1 - - [18/Dec/2015:17:09:25 +0200] "GET /nodejstester/libs/bootstrap-3.3.6-dist/fonts/glyphicons-halflings-regular.woff2 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Dec/2015:17:11:03 +0200] "GET /nodejstester/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Dec/2015:17:11:03 +0200] "GET /nodejstester/libs/bootstrap-3.3.6-dist/css/bootstrap.css HTTP/1.1" 304 -
